,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language
8363,1307247816499253248,2020-09-19 09:19:01,"Samsung hits a new record with the most expensive smartphone: $2,000 https://t.co/SU4iD84324",DJDREK84,,,"Brunswick, Georgia, USA",en
4464,1307255174499454977,2020-09-19 09:48:15,@SamsungMobile  sorry this is why I change from Samsung to Hawaii After Using a Fold for 1 year I had issues with dead pixels and a line down my screen its not my fault and never drop it its your bloody updates,kickass1456,,,"Springvale, ME",en
6417,1307257329944072193,2020-09-19 09:56:49,"I'm not generally an alarmist, but today I'll make an exception. At 4:00 this morning I looked up and saw Mars directly overhead. Right next to it was another orb. I have Skymap on my Samsung phone, and to my delight it was Uranus! Mars and Uranus are in direct conjunction‼️✨🤯 https://t.co/MSgeMphqXc",_wooten_william,,,"Lubbock, TEXAS, USA",en
9243,1307281046808023041,2020-09-19 11:31:04,"I’d like to watch the Premier League this morning but it’s on Peacock. Fine, I have a subscription. But you can’t watch on Roku or Samsung TVs. I’d like to meet the absolute morons that make these decisions. Useless suits that will be out of a job in 18 months",jasonparadise,,,CT,en
4881,1307293282934939649,2020-09-19 12:19:41,"@classateach @SamsungMobileUS @sprint @TMobile Oh, it's very heavy for a phone.",d3sc3n7,,,"Kansas City, MO",en
3208,1307293328699019265,2020-09-19 12:19:52,Samsung Galaxy Watch Evolution 2009-2020 https://t.co/bzds0nGqV8 via @YouTube,BLASTERTECHNOL1,,,United States,en
3549,1307294413132046336,2020-09-19 12:24:11,"@MisbahHassan20 @shaz_Insafiyan @chaye_dost nahi .. samsung mein kafi additional features hain jo baqi androids mein nahi..
samsung pay,smart switch, samsung cloud,samsung watch wagera
they are really useful",NajahMasood,,,"Dallas, TX",en
3207,1307298787224956935,2020-09-19 12:41:33,@SamsungMobile I love the phone but not fond of the neq colors. Will the Note Ultra come in blue?,ChrisGCampbell,,,USA,en
3206,1307304145892847616,2020-09-19 13:02:51,"@classateach @SamsungMobileUS @sprint @TMobile It has a more wide angle, group photo camera. Great resolution but not what I'd call a selfie camera.",d3sc3n7,,,"Kansas City, MO",en
9089,1307304720046882816,2020-09-19 13:05:08,"@JJ_Wheel_210 @SamsungMobileUS Yes, it's an amazing phone! You got the Mystic Black?! Nice!",MariKrajczar,,,Pennsylvania,en
5517,1307304898833285120,2020-09-19 13:05:51,"@SUMANTH30551674 @ishanagarwal24 If you're already a samsung user - S7. 
Any other Android (phone), get the iPad",ParodySamsung,,,United States,en
9242,1307307206677794816,2020-09-19 13:15:01,"For all it offers, this Samsung #smartphone is worth its price. #lifestyle  https://t.co/1gbhkMjIIV https://t.co/bAQlSpZl5g",metroareadev,,,"Maryland, USA",en
2478,1307308502248042498,2020-09-19 13:20:10,"@MattSebek Yes!! It’s always fun to have the family gather around my phone to watch a soccer game. No need to use the 65in tv. That would be silly, hey Samsung and Peacock eat shit bud. https://t.co/1uwgHPLTv7",DDreith32,,,"Bethalto, IL",en
536,1307312495594541056,2020-09-19 13:36:02,Best Samsung Galaxy Watch 3 bands: Straps for 45mm and 41mm models https://t.co/s7yZzFjmdF https://t.co/7fd9UY52Xh,wareable,,,London & San Francisco,en
