,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language
3917,1305135680067178496,2020-09-13 13:26:09,"@peacockTV @premierleague I'd love to watch, but I have Samsung smart tvs, so 🤷‍♂️",cuffbalboa,,,"Plano, TX",en
1386,1305136389596610561,2020-09-13 13:28:58,"Needless to say, I'm pretty excited for the future of smartphone technology. Yes, I am a nerd. 😂 @SamsungMobileUS @SamsungMobile @Samsung @SamsungUS",mkostial05,,,"St Louis, MO",en
1575,1305137662970540033,2020-09-13 13:34:01,@edsbs the Samsung football phone never quite took off.,michexposures,,,"Ypsilanti, MI",en
152,1305148652340436992,2020-09-13 14:17:41,was hoping that the samsung thingi was a jihope subunit so they can both do some parkour dancing sht wit that phone 🙄,rosiejiminiee,,,PARKS,en
3866,1305151807484825602,2020-09-13 14:30:14,"Samsung Galaxy M51 comes to India with Snapdragon 730G SoC, massive 7000mAh battery - 
    
        Samsung earlier today, launched a new mid-range smartphone in India. The new smartphone - the Samsung Galaxy M51 - is the latest M-series smartphone to hit the market and is pos...",effinfun,,,United,en
4980,1305152711298613249,2020-09-13 14:33:49,"@SamsungSupport hi - I’m trying to connect my Samsung washer/dryer set to the SmartThings app, but I can’t tell if the app supports my device, can you help?",cassidyrota,,"East Providence, RI","Providence, RI",en
2581,1305159571015639040,2020-09-13 15:01:05,@RealAmanda I've always been a fan of samsung. Samsung everything from my tv to my phone to my microwave 🤣,Treseption,,,"Virginia, USA",en
1926,1305160419187650561,2020-09-13 15:04:27,"@SamsungMobile @BTS_twt Poor Kookie, having to fight for a photo.  Samsung better get him his own phone so that he can play his video games...🤣🤣🤣🤣🤣🤣🤣",LOVEOT7FOREVER,,,"Arizona, USA",en
151,1305162161291845632,2020-09-13 15:11:22,This is so cool!! @Bts_twt x Samsung...   https://t.co/RN3tQDruTt,cianelovebts,,,"Phoenix, AZ",en
1925,1305162900387115013,2020-09-13 15:14:18,Anyone else with a Samsung phone have TWO American flags emojis🤔 https://t.co/rYiDIQxz3D,beachydreamer,,,"Pennsylvania, USA",en
1100,1305163855375536130,2020-09-13 15:18:06,The fact you can’t even watch @peacockTV on a Samsung smart TV is a friggin’ joke.   Or a Firestick for that matter.  So let’s connect the laptop to the TV just so I can watch a damn game.  😑,KyleUTFH,,,South Florida,en
